,index,coordinates
451,1568,"(35.785409999999999, -78.647300000000001)"
452,1569,"(35.785589999999999, -78.686300000000003)"
453,1570,"(35.785620000000002, -78.701300000000003)"
454,1571,"(35.785629999999998, -78.693100000000001)"
455,1572,"(35.785789999999999, -78.700500000000005)"
456,1574,"(35.78593, -78.607600000000005)"
457,1575,"(35.78595, -78.712000000000003)"
458,1577,"(35.786720000000003, -78.664199999999994)"
459,1578,"(35.786720000000003, -78.664199999999994)"
460,1579,"(35.786720000000003, -78.664199999999994)"
461,1580,"(35.787840000000003, -78.738100000000003)"
462,1581,"(35.787970000000001, -78.639700000000005)"
463,1582,"(35.788200000000003, -78.676500000000004)"
464,1583,"(35.788420000000002, -78.671099999999996)"
465,1585,"(35.788809999999998, -78.575199999999995)"
466,1587,"(35.789029999999997, -78.586100000000002)"
467,1589,"(35.789479999999998, -78.666499999999999)"
468,1592,"(35.790950000000002, -78.659400000000005)"
469,1593,"(35.791150000000002, -78.662899999999993)"
470,1594,"(35.791370000000001, -78.657399999999996)"
471,1596,"(35.792279999999998, -78.682400000000001)"
472,1598,"(35.795580000000001, -78.574799999999996)"
473,1599,"(35.79674, -78.583600000000004)"
474,1603,"(35.797130000000003, -78.698899999999995)"
475,1605,"(35.797519999999999, -78.574600000000004)"
476,1606,"(35.79757, -78.656599999999997)"
477,1608,"(35.798520000000003, -78.616100000000003)"
478,1609,"(35.798949999999998, -78.623000000000005)"
479,1610,"(35.79927, -78.721800000000002)"
480,1612,"(35.799729999999997, -78.716399999999993)"
481,1614,"(35.799810000000001, -78.723500000000001)"
482,1616,"(35.800240000000002, -78.716099999999997)"
483,1617,"(35.800319999999999, -78.561199999999999)"
484,1622,"(35.805880000000002, -78.593400000000003)"
485,1623,"(35.806159999999998, -78.638499999999993)"
486,1630,"(35.813099999999999, -78.689700000000002)"
487,1631,"(35.813319999999997, -78.625100000000003)"
488,1633,"(35.814219999999999, -78.677700000000002)"
489,1635,"(35.815219999999997, -78.625900000000001)"
490,1636,"(35.815249999999999, -78.689300000000003)"
491,1638,"(35.815530000000003, -78.700299999999999)"
492,1641,"(35.815809999999999, -78.694699999999997)"
493,1648,"(35.823709999999998, -78.5886)"
494,1649,"(35.824120000000001, -78.591899999999995)"
495,1650,"(35.82479, -78.618600000000001)"
496,1651,"(35.824890000000003, -78.708699999999993)"
497,1652,"(35.825229999999998, -78.630200000000002)"
498,1653,"(35.825980000000001, -78.621399999999994)"
499,1656,"(35.828769999999999, -78.619600000000005)"
500,1659,"(35.83034, -78.618899999999996)"
501,1661,"(35.8307, -78.619299999999996)"
502,1663,"(35.832279999999997, -78.569199999999995)"
503,1665,"(35.834069999999997, -78.712299999999999)"
504,1666,"(35.834400000000002, -78.582599999999999)"
505,1668,"(35.834780000000002, -78.6053)"
506,1669,"(35.834899999999998, -78.615499999999997)"
507,1670,"(35.835039999999999, -78.6524)"
508,1671,"(35.835659999999997, -78.609800000000007)"
509,1672,"(35.835709999999999, -78.5792)"
510,1673,"(35.836199999999998, -78.674499999999995)"
511,1674,"(35.83625, -78.674800000000005)"
512,1675,"(35.83625, -78.645799999999994)"
513,1676,"(35.836449999999999, -78.585400000000007)"
514,1677,"(35.836559999999999, -78.593299999999999)"
515,1679,"(35.838270000000001, -78.691800000000001)"
516,1680,"(35.838279999999997, -78.674000000000007)"
517,1682,"(35.840009999999999, -78.612200000000001)"
518,1683,"(35.840319999999998, -78.611599999999996)"
519,1685,"(35.84075, -78.665099999999995)"
520,1686,"(35.840919999999997, -78.612399999999994)"
521,1687,"(35.841160000000002, -78.678399999999996)"
522,1690,"(35.844200000000001, -78.579899999999995)"
523,1692,"(35.845820000000003, -78.593699999999998)"
524,1693,"(35.845840000000003, -78.587299999999999)"
525,1699,"(35.849490000000003, -78.583500000000001)"
526,1700,"(35.849919999999997, -78.647800000000004)"
527,1701,"(35.850110000000001, -78.580699999999993)"
528,1702,"(35.850209999999997, -78.580299999999994)"
529,1704,"(35.850879999999997, -78.585800000000006)"
530,1709,"(35.854649999999999, -78.557900000000004)"
531,1710,"(35.854680000000002, -78.705699999999993)"
532,1713,"(35.855609999999999, -78.575800000000001)"
533,1714,"(35.857239999999997, -78.666300000000007)"
534,1715,"(35.859389999999998, -78.706500000000005)"
535,1716,"(35.8596, -78.646500000000003)"
536,1717,"(35.86027, -78.704599999999999)"
537,1719,"(35.861640000000001, -78.598500000000001)"
538,1720,"(35.865479999999998, -78.592100000000002)"
539,1721,"(35.867080000000001, -78.620599999999996)"
540,1724,"(35.869970000000002, -78.580100000000002)"
541,1725,"(35.871510000000001, -78.679000000000002)"
542,1726,"(35.87229, -78.718699999999998)"
543,1727,"(35.875239999999998, -78.6447)"
544,1737,"(35.883890000000001, -78.739900000000006)"
545,1739,"(35.885509999999996, -78.6601)"
546,1740,"(35.885959999999997, -78.589699999999993)"
547,1746,"(35.889040000000001, -78.719499999999996)"
548,1748,"(35.889710000000001, -78.556299999999993)"
